lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
4.950761,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9712858926342073
2.365751,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
9.668261,,,,,,
4.136251,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
2.852881,l2,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9800249687890137
7.596141,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.968789013732834
0.255761,,,,,,
6.240061,,,,,,
8.608621,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
4.375771,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
6.205871,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
0.444531,,,,,,
9.637301,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
5.915891,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
2.521071,,,,,,
4.828481,,,,,,
9.599671,,,,,,
5.353861,,,,,,
8.978421,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
3.802731,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
5.943391,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
4.965851,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9700374531835206
3.331621,,,,,,
9.694181,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9637952559300874
9.885791,,,,,,
3.663641,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9750312109862672
0.303131,,,,,,
9.391291,,,,,,
2.657631,l1,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.9812734082397003
9.945011,,,,,,
8.986741,,,,,,
1.829521,l1,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9887640449438202
3.735111,,,,,,
9.575481,,,,,,
5.420221,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
2.808881,l1,0.8787878787878788,0.8787878787878788,0.8788157064627654,0.877704040971444,0.9800249687890137
6.406231,,,,,,
3.961651,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9737827715355806
7.682921,,,,,,
5.024911,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9712858926342073
8.347591,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
1.367551,,,,,,
5.140791,l2,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9700374531835206
9.759611,,,,,,
9.403501,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
7.208521,l1,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
9.262271,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9650436953807741
6.545591,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
4.932191,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9712858926342073
