lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
7.208521,l1,85,23.2,0.5454545454545454,0.5454545454545455,0.5472027972027972,0.5360780297390055,0.5318352059925093
9.262271,l1,435,14.2,0.6484848484848484,0.6484848484848484,0.6353984053880057,0.6178849323215246,0.6466916354556804
6.545591,l2,160,27.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.932191,l1,210,32.2,0.26666666666666666,0.26666666666666666,0.3095216437746986,0.21372663237823528,0.2696629213483146
0.065071,,260,11.2,,,,,
2.964661,,310,29.2,,,,,
6.931281,l1,160,28.2,0.2696969696969697,0.2696969696969697,0.32955244740657297,0.20721544696042468,0.2759051186017478
6.163091,,485,25.2,,,,,
5.457561,l2,185,8.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
1.881291,l2,410,38.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
3.068481,l2,485,38.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
7.803651,l2,160,38.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.060391,,235,39.2,,,,,
9.014471,l1,285,3.2,0.4666666666666667,0.4666666666666666,0.5176420508292868,0.47863598968556637,0.44569288389513106
5.715111,l2,185,29.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
6.840261,,160,3.2,,,,,
6.068201,l1,35,16.2,0.403030303030303,0.40303030303030307,0.4627351160370028,0.3044260812346649,0.4107365792759051
8.735051,l1,410,20.2,0.396969696969697,0.396969696969697,0.29723502304147464,0.3204258283707436,0.41198501872659177
7.133161,l1,260,26.2,0.31212121212121213,0.31212121212121213,0.47146629388008704,0.21413712465452783,0.3196004993757803
0.149581,l1,460,38.2,0.41515151515151516,0.4151515151515151,0.3635136552353808,0.36118992161203506,0.449438202247191
6.512531,l1,285,29.2,0.2696969696969697,0.2696969696969697,0.3150637175229077,0.20735617718905217,0.27715355805243447
7.513861,l2,260,19.2,0.803030303030303,0.8030303030303031,0.8279118730731634,0.790444078936646,0.8202247191011236
0.904381,l2,210,27.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
8.361461,l1,35,36.2,0.3151515151515151,0.3151515151515151,0.4558974358974359,0.20797905811875453,0.3208489388264669
0.783211,,385,20.2,,,,,
3.089911,l2,35,20.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.333481,,85,18.2,,,,,
0.599441,,485,13.2,,,,,
4.969651,l2,135,36.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
1.726071,,110,22.2,,,,,
7.195661,,185,20.2,,,,,
5.660191,,185,36.2,,,,,
3.884411,,335,28.2,,,,,
4.427911,l1,160,39.2,0.2636363636363636,0.2636363636363636,0.3010684055042782,0.21395213619554854,0.2634207240948814
0.264071,l1,335,6.2,0.5393939393939394,0.5393939393939394,0.55482341523873,0.5323978452240179,0.5667915106117354
0.229841,l2,10,0.2,0.906060606060606,0.9060606060606061,0.9057782796913232,0.9056111502623131,0.9088639200998752
5.851051,l1,10,12.2,0.3515151515151515,0.3515151515151515,0.30896448036083446,0.21955411601918554,0.36079900124843944
5.909951,,310,7.2,,,,,
7.954391,l1,285,28.2,0.3151515151515151,0.3151515151515151,0.47594195927529265,0.21572481572481572,0.32209737827715357
8.939111,l2,160,28.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
5.618801,l2,285,26.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
9.625741,l1,235,38.2,0.25757575757575757,0.25757575757575757,0.4839269257873909,0.16881052175169822,0.2696629213483146
8.131291,,235,19.2,,,,,
6.309871,l1,110,6.2,0.6181818181818182,0.6181818181818182,0.42090567570311704,0.4964820172149005,0.6129837702871411
3.495681,,385,33.2,,,,,
8.568311,l2,185,10.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.3333333333333333
4.619131,l1,160,26.2,0.49696969696969695,0.4969696969696969,0.5093213390493593,0.5007006315864017,0.4631710362047441
7.068891,,410,34.2,,,,,
2.159951,,160,20.2,,,,,
9.092261,l2,435,0.2,0.8939393939393939,0.893939393939394,0.893301633575469,0.8934621860191191,0.8876404494382022
