lambda,regularizer,num_estimators,learning_rate,val_acc,val_recall,val_pre,val_f1,train_acc
0.75,l1,75,0.5,0.9090909090909091,0.9090909090909091,0.9092632932455942,0.9081707416114085,0.9113607990012484
0.75,l1,75,1.0,0.8393939393939394,0.8393939393939394,0.8419258508000902,0.8400448369558404,0.867665418227216
0.75,l1,100,0.01,0.9030303030303031,0.903030303030303,0.9038434852886237,0.9012383937889924,0.9113607990012484
0.75,l1,100,0.1,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9063670411985019
0.75,l1,100,0.25,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9126092384519351
0.75,l1,100,0.5,0.9090909090909091,0.9090909090909091,0.9092632932455942,0.9081707416114085,0.9113607990012484
0.75,l1,100,1.0,0.8393939393939394,0.8393939393939394,0.8419258508000902,0.8400448369558404,0.867665418227216
0.75,l1,150,0.01,0.906060606060606,0.9060606060606061,0.9061693642974431,0.9047254368050828,0.9176029962546817
0.75,l1,150,0.1,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9063670411985019
0.75,l1,150,0.25,0.906060606060606,0.9060606060606061,0.9056868418937384,0.9054297837359618,0.9126092384519351
0.75,l1,150,0.5,0.9090909090909091,0.9090909090909091,0.9092632932455942,0.9081707416114085,0.9113607990012484
0.75,l1,150,1.0,0.8393939393939394,0.8393939393939394,0.8419258508000902,0.8400448369558404,0.867665418227216
0.75,l2,25,0.01,0.8939393939393939,0.8939393939393939,0.8955041445160022,0.8915140727414466,0.9063670411985019
0.75,l2,25,0.1,0.9030303030303031,0.903030303030303,0.90260367651672,0.9025103750685145,0.9138576779026217
0.75,l2,25,0.25,0.9,0.9,0.8995686758348129,0.8995891454224787,0.9113607990012484
0.75,l2,25,0.5,0.906060606060606,0.9060606060606061,0.9056888792419517,0.905409349470014,0.9026217228464419
0.75,l2,25,1.0,0.8727272727272727,0.8727272727272727,0.8717209006797222,0.8717146599704834,0.8913857677902621
0.75,l2,50,0.01,0.906060606060606,0.9060606060606061,0.9061693642974431,0.9047254368050828,0.9126092384519351
0.75,l2,50,0.1,0.906060606060606,0.9060606060606061,0.905630379543423,0.9054614084630576,0.9088639200998752
0.75,l2,50,0.25,0.9,0.9,0.8995686758348129,0.8995891454224787,0.9113607990012484
0.75,l2,50,0.5,0.906060606060606,0.9060606060606061,0.9056888792419517,0.905409349470014,0.9026217228464419
0.75,l2,50,1.0,0.8515151515151516,0.8515151515151516,0.8510494579639913,0.8510567761352017,0.8876404494382022
0.75,l2,75,0.01,0.9030303030303031,0.903030303030303,0.9028367129566529,0.9017742084719261,0.9151061173533084
0.75,l2,75,0.1,0.906060606060606,0.9060606060606061,0.905630379543423,0.9054614084630576,0.9088639200998752
0.75,l2,75,0.25,0.9,0.9,0.8995686758348129,0.8995891454224787,0.9113607990012484
0.75,l2,75,0.5,0.906060606060606,0.9060606060606061,0.9056888792419517,0.905409349470014,0.9026217228464419
0.75,l2,75,1.0,0.8575757575757575,0.8575757575757575,0.8582492266702793,0.8576527211958128,0.8751560549313359
0.75,l2,100,0.01,0.906060606060606,0.9060606060606061,0.9056195570443132,0.9052234788303829,0.9225967540574282
0.75,l2,100,0.1,0.906060606060606,0.9060606060606061,0.905630379543423,0.9054614084630576,0.9088639200998752
0.75,l2,100,0.25,0.9,0.9,0.8995686758348129,0.8995891454224787,0.9113607990012484
0.75,l2,100,0.5,0.906060606060606,0.9060606060606061,0.9056888792419517,0.905409349470014,0.9026217228464419
