,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,entropy,6,8,sqrt,530,0.8139825218476904,0.7909090909090909,0.7996075893140429,0.790909091,0.7935876824800895
0,entropy,6,8,sqrt,530,0.8139825218476904,0.7909090909090909,0.7996075893140429,0.790909091,0.7935876824800895
0,entropy,14,9,log2,523,0.7890137328339576,0.7909090909090909,0.7943488156866678,0.790909091,0.7872585815379168
0,entropy,14,9,log2,523,0.7890137328339576,0.7909090909090909,0.7943488156866678,0.790909091,0.7872585815379168
0,gini,6,14,0.33,513,0.8002496878901373,0.7909090909090909,0.7926169348098252,0.7909090909090909,0.7907133644683798
0,entropy,13,12,0.33,552,0.8214731585518102,0.7909090909090909,0.7889235218427765,0.790909091,0.7887213373997515
0,entropy,13,12,0.33,552,0.8214731585518102,0.7909090909090909,0.7889235218427765,0.790909091,0.7887213373997515
0,entropy,4,5,0.33,631,0.8052434456928839,0.7909090909090909,0.7899433291953049,0.790909091,0.7894613038867829
0,gini,6,12,0.33,756,0.8264669163545568,0.7909090909090909,0.791484935,0.7909090909090909,0.7908909897692339
0,entropy,6,5,0.33,486,0.832709114,0.7909090909090909,0.7896939908038686,0.790909091,0.7896337419305498
0,entropy,6,8,log2,633,0.8302122347066168,0.7909090909090909,0.7903523685701903,0.7909090909090909,0.7874489469400919
0,gini,4,8,0.33,747,0.8052434456928839,0.7909090909090909,0.7891060299693177,0.7909090909090909,0.7886072393878872
0,entropy,15,8,0.33,718,0.8489388264669163,0.7909090909090909,0.7909851730686185,0.7909090909090909,0.7895747655255144
0,entropy,6,3,sqrt,580,0.8352059925093633,0.7909090909090909,0.798180158,0.7909090909090909,0.792958893
0,entropy,6,3,sqrt,580,0.8352059925093633,0.7909090909090909,0.798180158,0.7909090909090909,0.792958893
0,gini,13,3,sqrt,791,0.8888888888888888,0.7909090909090909,0.795015213,0.7909090909090909,0.7922090867594423
