alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
0.000109,tanh,20,"(15, 300, 350, 295, 165)",0.8757575757575757,0.8757575757575756,0.8782398068341585,0.8745745640961804,0.9038701622971286
0.000609,tanh,70,"(265, 120, 475, 315, 385)",0.9272727272727272,0.9272727272727274,0.9274089590718658,0.9270013457852452,1.0
0.000375,relu,44,"(330, 10, 255)",0.896969696969697,0.896969696969697,0.8965228201083574,0.8962136697617779,1.0
0.000587,tanh,30,"(240, 110, 380, 50)",0.9151515151515152,0.9151515151515152,0.9159223437802794,0.9147866681210169,1.0
0.000935,relu,14,"(400, 280, 450, 450, 465)",0.8787878787878788,0.8787878787878788,0.8785828385348409,0.8775005185201078,0.9912609238451935
0.000299,relu,12,"(450, 305, 190)",0.9090909090909091,0.9090909090909092,0.9097387691821391,0.909151023169288,1.0
0.000457,relu,14,"(120, 155)",0.9090909090909091,0.9090909090909092,0.9094424750241702,0.9089351984013702,1.0
0.000381,relu,10,"(345, 130, 410, 375, 135)",0.8878787878787879,0.8878787878787878,0.8877577612794522,0.8877319478595056,0.9812734082397003
0.000409,relu,70,"(190, 450, 170, 345)",0.896969696969697,0.896969696969697,0.8964598997493735,0.8963698344539465,1.0
0.000253,relu,58,"(265,)",0.9090909090909091,0.9090909090909091,0.909223535085604,0.9087104608236029,1.0
0.000959,relu,38,"(340, 400, 410, 20, 55)",0.9090909090909091,0.9090909090909092,0.9089122245437539,0.9088406315538441,1.0
0.000355,tanh,54,"(225, 295, 465)",0.9030303030303031,0.903030303030303,0.9032288698955365,0.9026446443078256,1.0
0.000675,tanh,68,"(450, 60, 225, 120, 445)",0.8939393939393939,0.8939393939393939,0.8950024722751996,0.893382798707728,1.0
0.000753,tanh,64,"(420, 15, 35, 10)",0.8939393939393939,0.8939393939393939,0.8941634515441397,0.8933138751289796,0.9950062421972534
0.000821,relu,36,"(270, 475, 10)",0.9090909090909091,0.9090909090909092,0.9087780971764058,0.9087726819995932,1.0
